reporting_period,entity,lhd,peer_group,attendances,pct_on_time,quarter_start,district_type
Apr-Jun 2013,Canterbury,Sydney,Major,9267.0,67.7,2013-04-01,Metropolitan
Apr-Jun 2013,Casino,Northern NSW,District group 2,3509.0,67.7,2013-04-01,Regional
Apr-Jun 2013,Cessnock,Hunter New England,District group 2,4194.0,81.3,2013-04-01,Regional
Apr-Jun 2013,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,13146.0,61.8,2013-04-01,Specialty network
Apr-Jun 2013,Coffs Harbour,Mid North Coast,Major,8502.0,83.2,2013-04-01,Regional
Apr-Jun 2013,Concord,Sydney,Principal referral,8908.0,72.8,2013-04-01,Metropolitan
Apr-Jun 2013,Deniliquin,Murrumbidgee,District group 2,2180.0,80.4,2013-04-01,Regional
Apr-Jun 2013,Dubbo,Western NSW,Major,6804.0,74.7,2013-04-01,Regional
Apr-Jun 2013,Fairfield,South Western Sydney,Major,8214.0,80.3,2013-04-01,Metropolitan
Apr-Jun 2013,Gosford,Central Coast,Principal referral,14195.0,65.6,2013-04-01,Metropolitan
Apr-Jun 2013,Goulburn,Southern NSW,District group 1,4206.0,54.4,2013-04-01,Regional
Apr-Jun 2013,Grafton,Northern NSW,District group 1,5787.0,75.8,2013-04-01,Regional
Apr-Jun 2013,Griffith,Murrumbidgee,District group 1,4446.0,78.2,2013-04-01,Regional
Apr-Jun 2013,Gunnedah,Hunter New England,District group 2,1964.0,73.8,2013-04-01,Regional
Apr-Jun 2013,Hawkesbury,Nepean Blue Mountains,District group 1,5120.0,76.4,2013-04-01,Metropolitan
Apr-Jun 2013,Hornsby,Northern Sydney,Major,8700.0,86.7,2013-04-01,Metropolitan
Apr-Jun 2013,Inverell,Hunter New England,District group 2,2710.0,77.9,2013-04-01,Regional
Apr-Jun 2013,John Hunter,Hunter New England,Principal referral,17171.0,67.2,2013-04-01,Regional
Apr-Jun 2013,Kempsey,Mid North Coast,District group 2,5294.0,71.3,2013-04-01,Regional
Apr-Jun 2013,Kurri Kurri,Hunter New England,District group 2,1718.0,87.4,2013-04-01,Regional
Apr-Jun 2013,Lismore,Northern NSW,Major,7193.0,68.0,2013-04-01,Regional
Apr-Jun 2013,Lithgow,Nepean Blue Mountains,District group 2,3044.0,85.4,2013-04-01,Metropolitan
Apr-Jun 2013,Liverpool,South Western Sydney,Principal referral,17545.0,61.3,2013-04-01,Metropolitan
Apr-Jun 2013,Macksville,Mid North Coast,District group 2,2834.0,58.9,2013-04-01,Regional
Apr-Jun 2013,Maclean,Northern NSW,District group 2,2583.0,76.8,2013-04-01,Regional
Apr-Jun 2013,Maitland,Hunter New England,Major,11270.0,68.1,2013-04-01,Regional
Apr-Jun 2013,Manly,Northern Sydney,Major,6033.0,86.9,2013-04-01,Metropolitan
Apr-Jun 2013,Manning,Hunter New England,Major,6250.0,78.3,2013-04-01,Regional
Apr-Jun 2013,Milton,Illawarra Shoalhaven,District group 2,3272.0,75.6,2013-04-01,Metropolitan
Apr-Jun 2013,Mona Vale,Northern Sydney,Major,7883.0,79.1,2013-04-01,Metropolitan
Apr-Jun 2013,Moree,Hunter New England,District group 2,2027.0,86.0,2013-04-01,Regional
Apr-Jun 2013,Moruya,Southern NSW,District group 2,2453.0,74.7,2013-04-01,Regional
Apr-Jun 2013,Mount Druitt,Western Sydney,District group 1,8019.0,62.1,2013-04-01,Metropolitan
Apr-Jun 2013,Murwillumbah,Northern NSW,District group 1,3960.0,92.7,2013-04-01,Regional
Apr-Jun 2013,Muswellbrook,Hunter New England,District group 2,2011.0,81.6,2013-04-01,Regional
Apr-Jun 2013,Narrabri,Hunter New England,District group 2,1346.0,95.7,2013-04-01,Regional
Apr-Jun 2013,Nepean,Nepean Blue Mountains,Principal referral,14729.0,82.3,2013-04-01,Metropolitan
Apr-Jun 2013,Orange,Western NSW,Major,6526.0,81.2,2013-04-01,Regional
Apr-Jun 2013,Port Macquarie,Mid North Coast,Major,6829.0,73.2,2013-04-01,Regional
Apr-Jun 2013,Prince of Wales,South Eastern Sydney,Principal referral,12662.0,76.5,2013-04-01,Metropolitan
Apr-Jun 2013,Queanbeyan,Southern NSW,District group 2,4305.0,62.9,2013-04-01,Regional
Apr-Jun 2013,Royal North Shore,Northern Sydney,Principal referral,17243.0,80.0,2013-04-01,Metropolitan
Apr-Jun 2013,Royal Prince Alfred,Sydney,Principal referral,17460.0,53.4,2013-04-01,Metropolitan
Apr-Jun 2013,Ryde,Northern Sydney,District group 1,6431.0,88.2,2013-04-01,Metropolitan
Apr-Jun 2013,Shellharbour,Illawarra Shoalhaven,District group 1,6375.0,69.8,2013-04-01,Metropolitan
Apr-Jun 2013,Shoalhaven,Illawarra Shoalhaven,Major,8893.0,64.1,2013-04-01,Metropolitan
Apr-Jun 2013,Singleton,Hunter New England,District group 2,2939.0,71.9,2013-04-01,Regional
Apr-Jun 2013,South East Regional,Southern NSW,District group 1,2709.0,78.0,2013-04-01,Regional
Apr-Jun 2013,St George,South Eastern Sydney,Principal referral,16508.0,64.9,2013-04-01,Metropolitan
Apr-Jun 2013,St Vincent's,St Vincent's Health Network,Principal referral,10866.0,82.3,2013-04-01,Specialty network
Apr-Jun 2013,Sutherland,South Eastern Sydney,Major,11810.0,63.7,2013-04-01,Metropolitan
Apr-Jun 2013,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,9424.0,69.4,2013-04-01,Specialty network
Apr-Jun 2013,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,8957.0,93.7,2013-04-01,Metropolitan
Apr-Jun 2013,Tamworth,Hunter New England,Major,9979.0,67.4,2013-04-01,Regional
Apr-Jun 2013,Tweed Valley,Northern NSW,Major,10483.0,78.8,2013-04-01,Regional
Apr-Jun 2013,Wagga Wagga,Murrumbidgee,Major,8441.0,81.7,2013-04-01,Regional
Apr-Jun 2013,Westmead,Western Sydney,Principal referral,15217.0,65.9,2013-04-01,Metropolitan
Apr-Jun 2013,Wollongong,Illawarra Shoalhaven,Principal referral,14166.0,63.2,2013-04-01,Metropolitan
Apr-Jun 2013,Wyong,Central Coast,Major,14442.0,72.0,2013-04-01,Metropolitan
Apr-Jun 2013,Young,Murrumbidgee,District group 2,2117.0,78.3,2013-04-01,Regional
Apr-Jun 2014,Armidale,Hunter New England,District group 1,3933.0,78.6,2014-04-01,Regional
Apr-Jun 2014,Auburn,Western Sydney,Major,6220.0,76.1,2014-04-01,Metropolitan
Apr-Jun 2014,Ballina,Northern NSW,District group 2,3970.0,73.9,2014-04-01,Regional
Apr-Jun 2014,Bankstown-Lidcombe,South Western Sydney,Principal referral,12306.0,71.4,2014-04-01,Metropolitan
Apr-Jun 2014,Batemans Bay,Southern NSW,District group 2,3335.0,74.5,2014-04-01,Regional
